subject,roi,metric,mean,median,std,n
103212,WM,MK,1.079077124595642,1.0593289136886597,0.44219696521759033,22633
103212,WM,alpha_persistence,1.9292235374450684,1.950302243232727,0.33317384123802185,22633
103212,GM,FA,0.16245034337043762,0.1432294249534607,0.09100621938705444,77172
103212,GM,MD,0.0007125624688342214,0.0006529599195346236,0.0002918272512033582,77172
103212,GM,MK,0.7246484756469727,0.6782360672950745,0.3486725687980652,77172
103212,GM,alpha_persistence,1.5988587141036987,1.599534034729004,0.31137514114379883,77172
103212,CSF,FA,0.0545717254281044,0.05090656131505966,0.023067904636263847,2258
103212,CSF,MD,0.0018032456282526255,0.0018689483404159546,0.00033827999141067266,2258
103212,CSF,MK,0.40687522292137146,0.3808010220527649,0.0673680528998375,2258
103212,CSF,alpha_persistence,1.5614838600158691,1.5467815399169922,0.19552285969257355,2258
103212,CC,FA,0.7548251748085022,0.7550873756408691,0.09525978565216064,786
103212,CC,MD,0.00042928053881041706,0.0004745603655464947,0.00016368615615647286,786
103212,CC,MK,1.1347055435180664,1.1865955591201782,0.5839026570320129,786
103212,CC,alpha_persistence,2.0589659214019775,2.081831932067871,0.38309597969055176,786
103414,WM,FA,0.5742468237876892,0.5482648611068726,0.13070228695869446,21062
103414,WM,MD,0.0004900344647467136,0.000521776732057333,0.00015277140482794493,21062
103414,WM,MK,1.0728883743286133,1.047269344329834,0.4686305820941925,21062
103414,WM,alpha_persistence,2.087935209274292,2.113098621368408,0.24347960948944092,21062
103414,GM,FA,0.17350536584854126,0.15566274523735046,0.09137110412120819,63806
103414,GM,MD,0.000654098461382091,0.0006464830366894603,0.00021522774477489293,63806
103414,GM,MK,0.7359968423843384,0.6847665309906006,0.3577653765678406,63806
103414,GM,alpha_persistence,1.7797647714614868,1.7831189632415771,0.20904020965099335,63806
103414,CSF,FA,0.06691428273916245,0.06279775500297546,0.02721121720969677,2428
103414,CSF,MD,0.0013902713544666767,0.0013821544125676155,0.00026741859619505703,2428
103414,CSF,MK,0.46101000905036926,0.4406668543815613,0.07775451987981796,2428
103414,CSF,alpha_persistence,1.720174789428711,1.7026522159576416,0.17202888429164886,2428
103414,CC,FA,0.7583974003791809,0.7495449781417847,0.10051354020833969,963
103414,CC,MD,0.00045656843576580286,0.0005001293611712754,0.00018063379684463143,963
103414,CC,MK,1.0759915113449097,1.1339411735534668,0.5653970837593079,963
103414,CC,alpha_persistence,2.231853485107422,2.263171434402466,0.3641660511493683,963
103515,WM,FA,0.5897027850151062,0.5643069744110107,0.13758796453475952,22956
103515,WM,MD,0.00046647447743453085,0.0005018134834244847,0.00015554337005596608,22956
103515,WM,MK,1.1279313564300537,1.0914826393127441,0.5034968852996826,22956
103515,WM,alpha_persistence,2.16835880279541,2.218693733215332,0.3156490623950958,22956
103515,GM,FA,0.17265501618385315,0.15640944242477417,0.09052290767431259,66241
103515,GM,MD,0.0006537712179124355,0.0006321334512904286,0.00022983155213296413,66241
103515,GM,MK,0.7538066506385803,0.6980096697807312,0.36194926500320435,66241
103515,GM,alpha_persistence,1.8053748607635498,1.8289250135421753,0.2805125117301941,66241
103515,CSF,FA,0.06291801482439041,0.05913109704852104,0.0255739726126194,3279
103515,CSF,MD,0.0014291920233517885,0.0013882055645808578,0.0002379556535743177,3279
103515,CSF,MK,0.43847212195396423,0.4140304923057556,0.06254442781209946,3279
103515,CSF,alpha_persistence,1.7334085702896118,1.7242066860198975,0.18669505417346954,3279
103515,CC,FA,0.7900992631912231,0.7999243140220642,0.10994479805231094,994
103515,CC,MD,0.0004271422221790999,0.0004748468636535108,0.00017654254043009132,994
103515,CC,MK,1.120872974395752,1.1905059814453125,0.6321340799331665,994
103515,CC,alpha_persistence,2.247403621673584,2.291686534881592,0.4635756313800812,994
103818,WM,FA,0.5703252553939819,0.5441997051239014,0.12757991254329681,20991
103818,WM,MD,0.0004983764956705272,0.000523107242770493,0.00014447655121330172,20991
103818,WM,MK,1.0707359313964844,1.0445821285247803,0.43853992223739624,20991
103818,WM,alpha_persistence,2.2110402584075928,2.248767614364624,0.2929304242134094,20991
103818,GM,FA,0.17565816640853882,0.15930438041687012,0.08986574411392212,64551
103818,GM,MD,0.0006722563412040472,0.0006474266410805285,0.00023518805392086506,64551
103818,GM,MK,0.7220566272735596,0.6737102270126343,0.3511451780796051,64551
103818,GM,alpha_persistence,1.8582733869552612,1.8662885427474976,0.265558123588562,64551
103818,CSF,FA,0.06561455875635147,0.062354978173971176,0.027475666254758835,2233
103818,CSF,MD,0.0016084290109574795,0.0015966081991791725,0.00031632394529879093,2233
103818,CSF,MK,0.4340271055698395,0.4114557206630707,0.06989895552396774,2233
103818,CSF,alpha_persistence,1.663559079170227,1.6630382537841797,0.19856280088424683,2233
103818,CC,FA,0.7784271240234375,0.784069836139679,0.1034921258687973,876
103818,CC,MD,0.0004472550062928349,0.0005062844138592482,0.0001976142666535452,876
103818,CC,MK,1.026572346687317,1.1087634563446045,0.639973521232605,876
103818,CC,alpha_persistence,2.296535015106201,2.3634192943573,0.4514022469520569,876
104012,WM,FA,0.5769162178039551,0.5453908443450928,0.1366725116968155,21639
104012,WM,MD,0.00046073796693235636,0.0004966870183125138,0.00015933666145429015,21639
104012,WM,MK,1.095428705215454,1.07527494430542,0.5233234167098999,21639
104012,WM,alpha_persistence,2.093799352645874,2.1281869411468506,0.23255859315395355,21639
104012,GM,FA,0.17616617679595947,0.15941663086414337,0.09106335043907166,67844
104012,GM,MD,0.0006467023049481213,0.0006395801319740713,0.00021434476366266608,67844
